,image,complex,frog_eye_leaf_spot,healthy,powdery_mildew,rust,scab,labels
5485,a9dac6252dcf3584.jpg,1,0,0,1,0,0,"[1, 0, 0, 1, 0, 0]"
15079,ea15d2798fe11463.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
10614,c9981dd1c0af7b4c.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
5189,a897c1eb48b65ba8.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
1783,8e4118e595e29f5e.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
10764,caa63498933bee85.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1215,88f6cb2783a767c0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15714,ef8e1fcc38c84585.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
1982,901013753f0e36ff.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
13573,dfc468fe45022ca7.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
4615,a506c47f0f2d3d61.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
6610,af8d425715a535c5.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
11976,d38bd1f5d88f6005.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
3594,9db89d41603e0fb3.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15290,eb809576c342c9f9.jpg,1,0,0,1,0,0,"[1, 0, 0, 1, 0, 0]"
10994,ccbc3593c71ce226.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13060,dba1c14fde08ea58.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
9388,c1976d8b1f713930.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14261,e3afc7600a2b0aeb.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
8492,bce8a094c33fe30d.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18174,fdaca0609a42b677.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
5051,a7b4f2d782baf400.jpg,1,0,0,1,0,0,"[1, 0, 0, 1, 0, 0]"
2135,912316b788ff08ee.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
16327,f2a8c8b44cfd340f.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9163,c0ad2dad55930adb.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
18125,fd816136fc9ca04d.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
16036,f0db82e97aa534a4.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
125,80bf683dd70c3fa0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5108,a83dd67b9a8150a7.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4305,a27ec2811c3f3e1e.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
10210,c66c0f0ddc7f3141.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
16069,f0f2d198812f3d36.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
14759,e8634aebc307b91c.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
3332,9a9f9a25945661d5.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12291,d59b4b48692dc4f1.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
15856,f065c3d61d48707d.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
18176,fdada5d45848d918.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9656,c2ccaf86b8d9549a.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
8311,bb2fc40f2ec63641.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
6507,aee1e4a5d6847354.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4175,a1b29c972c69b276.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
4265,a1f49ed72b44c2a6.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4696,a55c971a92e9bc83.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4197,a1c0339fb1f470c7.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
16883,f5bfe1bd411cc280.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
3175,98ba1a557464cdb5.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15978,f0bfdbc108a0f88e.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12128,d4b5f49240eb5b49.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
3478,9c853768dada948e.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
8555,bd3f96600b426d2e.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11015,ccd52ecf00ebd164.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16488,f44e8f2c1e387316.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
12090,d49a63bce881d8c7.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
2455,93fce6b50df12a01.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18511,ff87c4e01c13307e.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16763,f54a9546d634d29a.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
12204,d5038b5576c583f4.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17608,fab0992adc3580eb.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
8028,b897c367857a9330.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
11184,ce3d339f6c368160.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
9161,c0aa3bad7d929e50.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15620,ee90c6e138e391b5.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
12798,d966081cfa3deb09.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11537,d0a0fa83685f65f4.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
4778,a59d4c9364e99e54.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4750,a58aeed47c712b12.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
7776,b689ca1e697864e3.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
3611,9dd418b44b24dd75.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2222,91e10527e6de889f.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
15779,f00463477e37721b.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
4648,a5359191799dc9d4.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
3777,9f9f5ae2f7740040.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14806,e89f82785f091de1.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
13144,dc75921d9bcb1c0a.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4838,a5bd419e4f60947c.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3288,99f3639158699cd8.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
9837,c3ffeb8d42c80594.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5669,aaa5b644b2a4d2ed.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4378,a341f89f3139d760.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13994,e195c7ea1df4200f.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
10786,cac51674aadc54ab.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
17459,f9a989fd50e0f380.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15046,e9e031e1e1cf6383.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3489,9c9e9acc643243eb.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
1037,8781dcd12a57aec5.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
4717,a56d9ea69121d1d5.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
3702,9eb19ebb49637012.jpg,1,1,0,0,0,1,"[1, 1, 0, 0, 0, 1]"
8794,bebc8ad9a6643360.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
16491,f455c0790fa67c0e.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
15480,ed2fdf00c0f580cd.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15842,f04f8dd499c303b9.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18431,ff0cd19c83ac878a.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
16154,f18e0b84e99c23bd.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
6489,aebc3da2c49c96c1.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
6773,b090e0e1cdedacce.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4550,a4c99cde7ca46266.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
8181,b9f8d5c0d5c0864f.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2491,9463ca296fd425bc.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3541,9d34d9258879ed19.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16014,f0cf90cf3cf23089.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
8908,bf88e5deca824d50.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15908,f089b32d93750bf0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13648,e01f503cb752e6c5.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
2583,94ccbe902df63a26.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14839,e8b8a49085dd7ed8.jpg,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
5665,aaa3955ad262b56c.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
2887,96574f331199465d.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
1915,8f8aa0afd2b61656.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16118,f137c8269fa812ea.jpg,1,0,0,1,0,0,"[1, 0, 0, 1, 0, 0]"
8227,ba84d297977c0359.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
4635,a52794630a8feb1e.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13219,dce394618ea4f80f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
607,84633e4af84bbc17.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16104,f11bdab109d2e5e0.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
2601,94dac92d3eb3b0c1.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
13241,dd0a33c5c636c2e3.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
14804,e89bc56d1f0c6968.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
13932,e134935a5d07f25a.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2209,91c98dab997929d4.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
9511,c1e7799ce06e0e1c.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
9092,c07c2895eda0cddd.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
10629,c9ad6e343217f1a2.jpg,1,1,0,0,0,1,"[1, 1, 0, 0, 0, 1]"
14395,e4f9a5d731ea1260.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7142,b3dace2dac608b70.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8071,b8d09d3fc3433ac8.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
15822,f03393cc310f9fb0.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12468,d6b0c94a41bdaea3.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
13205,dcd785ca8bb4a813.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
12437,d689c0dfcf0a023f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6686,afe0c59036567467.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
15068,e9f9a450d5d80799.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8281,bad69b4d59253123.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16130,f1589c971fc8c968.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
12085,d495a683d8abe90b.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2649,951f63af3c3052d4.jpg,1,1,0,0,0,1,"[1, 1, 0, 0, 0, 1]"
16038,f0dc09b98bbeae20.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
4730,a57abed01897c916.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
10022,c56316977a3d7508.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
11308,cf703fda70e228a4.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8323,bb764b09851595a7.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14528,e5b996714a29368e.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
18002,fcf1a57a554a2149.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1143,8860f8269d2f9d2f.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12761,d8f3df81d09670d0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6454,ae8c83b6a64554e7.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
14644,e718afb6c0cc0f68.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
3355,9ad0614f1f1d2e3a.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
15332,ebc0355b5541ccce.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14168,e2b6d25b81e52bc4.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3061,97a790c228ba1e9f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4354,a2e39a7829156f8e.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14197,e2f9105769d0ab47.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
144,80d76587b00f9d5e.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
268,81b3556b9595ab4c.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
6996,b1e09e9bcc78782c.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18399,fee4804a8d345d1f.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
8860,bf303c6261f69730.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5659,aaa0e281dfa5f538.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
3717,9ed4be8a9fb0aa40.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
7664,b5d091894a3f6d72.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17173,f839d5b00f871c96.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4382,a364babd12a5ac2b.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
15600,ee38d05f98429b4e.jpg,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
1465,8b1fba5efa125418.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
5778,aaeae5c2908ba2db.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11137,cdd683218d52cb5e.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
185,812a9ac1796bf5c3.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12805,d980bacf3003f3f8.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1325,89ea50c4af257ab5.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9770,c3a196d3ca0bf86c.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
15551,edcf82001f7d3923.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
8951,bfbc95304a47c562.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
17891,fc8fccc6c4dcc8c0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18351,fead8b83cb6a2490.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
8471,bcbfc0984f093764.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1144,8865933df79a20e3.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
78,8095c68bf924ab77.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9144,c09f21a433bf3758.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
402,82ae73f0d9511c97.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
17480,f9d18eb1ea2321ca.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
11551,d0a98e4bfe61c3e0.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
2399,9361476766879c53.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
10661,c9d47c94302fb8da.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
2543,94a63e567b4b4589.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
8560,bd4b8834cdabc5a1.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3157,98998b9d5c54b536.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5908,aba765c0564ad2ce.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16950,f5f6caa538c0a159.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
17779,fc05c88b85e36db8.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17983,fce38f192358066d.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
10019,c5607681fa072d9f.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
13287,dd86d7c99ed80059.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13593,dfd8cf08a00f613e.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2055,90b2cbcf9a7c4538.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
10579,c93a61ca82c27afe.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
10150,c5e5444760d0ebf5.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
13039,db641bc5863fc4c8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
1371,8a78f35e068dd8cc.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
7118,b37c82f08faee484.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
17594,fa9fd0aa2a361aa1.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17676,faf561ca9ca8a445.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
18215,fdcfc0e456cab088.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
929,864e8b184df57627.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9628,c2a5b7d2886a396d.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2327,92bab269d20f43b6.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
2289,92875a602f3c1e9f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
8146,b9ad93daab836260.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
889,85e387d76d987422.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2075,90c9e9d1b7f021b6.jpg,1,1,0,0,0,1,"[1, 1, 0, 0, 0, 1]"
16580,f4a8cbc3246d643d.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
12324,d5c22b2d36f3c843.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
3543,9d4179607cb5cd25.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
10846,cb5c3e8dcb8a1cb0.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5449,a9b61b807a1a79ae.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4567,a4d561c79a8abaa5.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
3720,9edb7fbd50d1a000.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
8670,bdc0e42e966cc4e5.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16224,f1d095cfd58d20a5.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
8585,bd8080da4fe5bf42.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11595,d0cea62f9f780495.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
6842,b0cea62d4d926bb1.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
17607,faaf94859ab01ba2.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
7005,b1f5e1c10f1d7c84.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
13264,dd4ae495cace9509.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
10027,c56a369b0bd0e0f5.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
261,81ad1d4bed8b20fa.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
15858,f067f9cd414b16c1.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
5313,a8ecc79e9990ad91.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16874,f5b6c0a0b2ecbaa8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6721,b0183f78e183d6b3.jpg,1,1,0,0,0,1,"[1, 1, 0, 0, 0, 1]"
11067,cd703e909b3e21f8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
451,83099a75b92a72af.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17874,fc83961c7869e364.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4087,a151e6d2dad615a3.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
5481,a9d7c2166c2b5d49.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13571,dfc260433c1774b6.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
11721,d1b93c588d1f3307.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2433,93bfd7d0386220f4.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
2919,96943ee158c32e3e.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
15155,eaa1c1d575889c3b.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
14241,e38f131b6383b48b.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11487,d06e81949e5f6a59.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
17662,faea9f872d872440.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1422,8abadec8f8c944f0.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11760,d1ee83a58bf01c71.jpg,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
9306,c103a6f3f6d96609.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18291,fe4bc0bb89192176.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15576,eded84c35f6c3030.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
17056,f716943183397af0.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13713,e07ba2a19597d1b2.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
6833,b0c7d3440cff909b.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
16324,f2a19a8d38de2c33.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
14691,e7c33238184177de.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
11304,cf683615876164f6.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
9364,c176707bd1c1d634.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11758,d1ec39d13d072587.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
12404,d6167a746a86e5c2.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14681,e7b1c6be8cd0184b.jpg,1,1,0,0,0,1,"[1, 1, 0, 0, 0, 1]"
577,83e55783c61d993a.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
7703,b5ec52491e3349ce.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
5193,a89fc0503e7c29bd.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
4172,a1b0d0871f0dcff8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14674,e795d2c8480cbcf6.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
7628,b5b6cc9810fdbd02.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
1766,8def3f60308ab41b.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13051,db91c5a1263497bc.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
6582,af6bc3350130bc97.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
1569,8c1e1f6ec9330877.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
